column,row,site,lat,lon,year,month,date,aqua_day,flag,aqua_night,flag,terra_day,flag,terra_night,flag,lstAvg
185,358,52602,38.45,93.2,2019,10,1,21.850000000000023,1,-3.25,1,15.0,2,2.7700000000000387,1,9.092500000000015
422,612,52707,36.48,93.41,2019,10,1,37.121505783715634,3,1.0,2,34.87107985419678,3,3.090000000000032,1,19.02064640947811
449,749,52818,36.25,94.55,2019,10,1,35.0,2,5.810000000000002,1,31.0,2,5.390000000000043,1,19.30000000000001
448,914,52825,36.26,96.26,2019,10,1,33.57000000000005,1,6.250000000000057,1,28.79000000000002,1,9.150000000000034,1,19.44000000000004
458,1098,52836,36.18,98.06,2019,10,1,22.470000000000027,1,2.3500000000000227,1,26.410000000000025,1,3.410000000000025,1,13.660000000000025
584,732,52908,35.13,93.05,2019,10,1,6.0,2,-1.9699999999999704,1,13.0,2,-1.6299999999999955,1,3.8500000000000085
949,165,55248,32.09,84.25,2019,10,1,26.410000000000025,1,-1.4099999999999682,1,28.0,2,2.1300000000000523,1,13.782500000000027
1045,1038,55299,31.29,92.04,2019,10,1,23.0,2,-2.0299999999999727,1,16.52100735989106,3,-0.22999999999996135,1,9.315251839972781
1179,18,55437,30.17,81.15,2019,10,1,-7.84079268108195,3,-4.25,1,13.778132567033339,3,-11.46999999999997,1,-2.4456650285121455
1165,1035,55493,30.29,91.06,2019,10,1,13.797321340535461,3,-2.75,1,-10.103966282364382,3,0.09000000000003183,1,0.2583387645427777
704,764,56004,34.13,92.26,2019,10,1,13.0,2,-5.809999999999945,1,17.452567438268034,3,-4.449999999999989,1,5.048141859567025
710,1090,56021,34.08,95.49,2019,10,1,10.021932648777579,3,-6.009999999999991,1,14.398212497982712,3,-2.133600326859863,3,4.069136204975109
185,358,52602,38.45,93.2,2019,10,2,21.53000000000003,1,-2.0,2,11.910000000000025,1,2.0,2,8.360000000000014
422,612,52707,36.48,93.41,2019,10,2,38.0,2,0.0,2,37.76493795813539,3,0.0,2,18.941234489533848
449,749,52818,36.25,94.55,2019,10,2,35.55000000000001,1,4.0,2,32.910000000000025,1,4.0,2,19.11500000000001
448,914,52825,36.26,96.26,2019,10,2,35.09000000000003,1,5.0,2,32.370000000000005,1,6.0,2,19.61500000000001
458,1098,52836,36.18,98.06,2019,10,2,16.49000000000001,1,0.0,2,27.670000000000016,1,4.050000000000011,1,12.052500000000009
584,732,52908,35.13,93.05,2019,10,2,7.0,2,-3.8699999999999477,1,8.03000000000003,1,-6.5499999999999545,1,1.1525000000000318
949,165,55248,32.09,84.25,2019,10,2,35.650000000000034,1,-0.6099999999999568,1,29.650000000000034,1,2.890000000000043,1,16.89500000000004
1045,1038,55299,31.29,92.04,2019,10,2,21.310000000000002,1,-0.14999999999997726,1,17.492876283214656,3,0.0,2,9.66321907080367
1179,18,55437,30.17,81.15,2019,10,2,16.150000000000034,1,-6.109999999999957,1,10.544434674285299,3,-2.609999999999957,1,4.493608668571355
1165,1035,55493,30.29,91.06,2019,10,2,13.0,2,-3.509999999999991,1,7.460477251310834,3,-0.20999999999997954,1,4.185119312827716
704,764,56004,34.13,92.26,2019,10,2,14.0,2,-1.4899999999999523,1,12.950000000000045,1,-2.849999999999966,1,5.652500000000032
710,1090,56021,34.08,95.49,2019,10,2,11.270000000000039,1,-7.989999999999952,1,17.970000000000027,1,-5.0,2,4.062500000000028
185,358,52602,38.45,93.2,2019,10,3,20.470000000000027,1,-1.42999999999995,1,17.970000000000027,1,1.4500000000000455,1,9.615000000000038
422,612,52707,36.48,93.41,2019,10,3,38.198644585788344,3,-0.3499999999999659,1,43.0,2,-1.7299999999999613,1,19.779661146447104
449,749,52818,36.25,94.55,2019,10,3,26.670000000000016,1,1.8900000000000432,1,31.0,2,3.650000000000034,1,15.802500000000023
448,914,52825,36.26,96.26,2019,10,3,32.0,2,2.9700000000000273,1,28.0,2,3.990000000000009,1,16.74000000000001
458,1098,52836,36.18,98.06,2019,10,3,20.0,2,-0.6499999999999773,1,23.0,2,-1.169999999999959,1,10.295000000000016
584,732,52908,35.13,93.05,2019,10,3,9.550000000000011,1,-3.92999999999995,1,3.0500000000000114,1,-2.509999999999991,1,1.5400000000000205
949,165,55248,32.09,84.25,2019,10,3,33.0,2,-0.40999999999996817,1,31.250000000000057,1,1.2900000000000205,1,16.282500000000027
1045,1038,55299,31.29,92.04,2019,10,3,19.250000000000057,1,-4.029999999999973,1,19.0,2,-0.2899999999999636,1,8.48250000000003
1179,18,55437,30.17,81.15,2019,10,3,16.0,2,-4.729999999999961,1,3.170000000000016,1,-3.25,1,2.7975000000000136
1165,1035,55493,30.29,91.06,2019,10,3,14.53000000000003,1,-1.1299999999999955,1,22.0,2,0.6900000000000546,1,9.022500000000022
704,764,56004,34.13,92.26,2019,10,3,16.110000000000014,1,-1.75,1,11.0,2,-4.189999999999998,1,5.292500000000004
710,1090,56021,34.08,95.49,2019,10,3,11.0,2,-4.649999999999977,1,2.7700000000000387,1,-10.0,2,-0.21999999999998465
185,358,52602,38.45,93.2,2019,10,4,20.0,2,-1.0,2,13.330000000000041,1,3.1900000000000546,1,8.880000000000024
422,612,52707,36.48,93.41,2019,10,4,36.97000000000003,1,0.09000000000003183,1,34.85000000000002,1,-4.029999999999973,1,16.970000000000027
449,749,52818,36.25,94.55,2019,10,4,32.27000000000004,1,4.4500000000000455,1,31.350000000000023,1,4.0,2,18.017500000000027
448,914,52825,36.26,96.26,2019,10,4,30.150000000000034,1,7.390000000000043,1,24.750000000000057,1,2.085081574529383,3,16.09377039363238
458,1098,52836,36.18,98.06,2019,10,4,22.230000000000018,1,-0.8699999999999477,1,19.83000000000004,1,3.410000000000025,1,11.150000000000034
584,732,52908,35.13,93.05,2019,10,4,9.53000000000003,1,-1.1499999999999773,1,6.0,2,-3.6899999999999977,1,2.6725000000000136
949,165,55248,32.09,84.25,2019,10,4,34.13000000000005,1,-4.109999999999957,1,31.99000000000001,1,1.490000000000009,1,15.875000000000028
1045,1038,55299,31.29,92.04,2019,10,4,18.610000000000014,1,-3.2899999999999636,1,20.99000000000001,1,0.21000000000003638,1,9.130000000000024
1179,18,55437,30.17,81.15,2019,10,4,14.57000000000005,1,-6.989999999999952,1,20.850000000000023,1,-3.5499999999999545,1,6.2200000000000415
1165,1035,55493,30.29,91.06,2019,10,4,15.330000000000041,1,-0.06999999999999318,1,16.010000000000048,1,1.5300000000000296,1,8.200000000000031
704,764,56004,34.13,92.26,2019,10,4,14.150864066452641,3,-2.269999999999982,1,8.590000000000032,1,-1.5299999999999727,1,4.73521601661318
710,1090,56021,34.08,95.49,2019,10,4,11.0,2,-4.449999999999989,1,5.990000000000009,1,-6.409999999999968,1,1.532500000000013
185,358,52602,38.45,93.2,2019,10,5,20.0,2,-0.92999999999995,1,15.0,2,1.170000000000016,1,8.810000000000016
422,612,52707,36.48,93.41,2019,10,5,34.0,2,2.9500000000000455,1,26.210000000000036,1,-1.0,2,15.54000000000002
449,749,52818,36.25,94.55,2019,10,5,27.99000000000001,1,-2.0299999999999727,1,25.810000000000002,1,4.710000000000036,1,14.120000000000019
448,914,52825,36.26,96.26,2019,10,5,30.370000000000005,1,6.0,2,26.49000000000001,1,3.549367379129073,3,16.602341844782273
458,1098,52836,36.18,98.06,2019,10,5,26.53000000000003,1,0.0,2,22.010000000000048,1,7.0,2,13.88500000000002
584,732,52908,35.13,93.05,2019,10,5,14.57000000000005,1,-2.6899999999999977,1,9.470000000000027,1,-2.5299999999999727,1,4.705000000000027
949,165,55248,32.09,84.25,2019,10,5,31.57000000000005,1,-1.8099999999999454,1,30.130000000000052,1,0.6300000000000523,1,15.130000000000052
1045,1038,55299,31.29,92.04,2019,10,5,22.390000000000043,1,-2.089999999999975,1,22.590000000000032,1,0.0,2,10.722500000000025
1179,18,55437,30.17,81.15,2019,10,5,24.55000000000001,1,-5.789999999999964,1,22.610000000000014,1,-3.7099999999999795,1,9.41500000000002
1165,1035,55493,30.29,91.06,2019,10,5,4.050000000000011,1,-1.92999999999995,1,9.410000000000025,1,0.4900000000000091,1,3.005000000000024
